id,release_date,movie,production_budget,domestic_gross,worldwide_gross
96,13-Nov-09,Fantastic Mr. Fox,"$40,000,000 ","$21,002,919 ","$47,083,412 "
97,22-Sep-95,Showgirls,"$40,000,000 ","$20,350,754 ","$37,750,754 "
98,16-Feb-96,City Hall,"$40,000,000 ","$20,278,055 ","$20,278,055 "
99,3-Feb-12,Big Miracle,"$40,000,000 ","$20,157,300 ","$25,268,680 "
100,21-Dec-12,The Impossible,"$40,000,000 ","$19,019,882 ","$169,590,606 "
1,9-Mar-12,A Thousand Words,"$40,000,000 ","$18,450,127 ","$20,790,486 "
2,20-Oct-06,Marie Antoinette,"$40,000,000 ","$15,962,471 ","$60,862,471 "
3,6-Oct-00,Get Carter,"$40,000,000 ","$14,967,182 ","$19,417,182 "
4,21-Apr-95,Kiss of Death,"$40,000,000 ","$14,942,422 ","$14,942,422 "
5,26-Apr-02,"Life, or Something Like It","$40,000,000 ","$14,448,589 ","$14,448,589 "
6,15-May-87,Ishtar,"$40,000,000 ","$14,375,181 ","$14,375,181 "
7,28-Feb-92,Memoirs of an Invisible Man,"$40,000,000 ","$14,358,033 ","$14,358,033 "
8,23-Oct-09,Amelia,"$40,000,000 ","$14,279,575 ","$19,756,077 "
9,23-Oct-09,Cirque du Freak: The Vampire's Assistant,"$40,000,000 ","$14,046,595 ","$39,753,957 "
10,7-May-04,New York Minute,"$40,000,000 ","$14,018,364 ","$21,215,882 "
11,12-Mar-99,The Deep End of the Ocean,"$40,000,000 ","$13,508,635 ","$13,508,635 "
12,5-Nov-04,Alfie,"$40,000,000 ","$13,395,939 ","$35,195,939 "
13,30-Aug-02,FearDotCom,"$40,000,000 ","$13,208,023 ","$13,208,023 "
14,7-Nov-08,Soul Men,"$40,000,000 ","$12,082,391 ","$12,345,883 "
15,20-Mar-15,The Gunman,"$40,000,000 ","$10,664,749 ","$18,594,227 "
16,20-Aug-99,Universal Soldier II: The Return,"$40,000,000 ","$10,447,421 ","$10,717,421 "
17,25-Sep-09,Pandorum,"$40,000,000 ","$10,330,853 ","$17,033,431 "
18,26-Sep-03,Duplex,"$40,000,000 ","$9,652,000 ","$10,070,651 "
19,16-Aug-13,Paranoia,"$40,000,000 ","$7,388,654 ","$16,340,767 "
20,1-Aug-80,Raise the Titanic,"$40,000,000 ","$7,000,000 ","$7,000,000 "
21,10-Jul-15,Baahubali: The Beginning,"$40,000,000 ","$6,738,000 ","$26,736,665 "
22,9-Mar-18,The Hurricane Heist,"$40,000,000 ","$6,115,824 ","$30,963,684 "
23,4-Jan-02,Impostor,"$40,000,000 ","$6,114,237 ","$7,974,607 "
24,25-Nov-15,Victor Frankenstein,"$40,000,000 ","$5,775,076 ","$31,124,367 "
25,27-Nov-02,Extreme Ops,"$40,000,000 ","$4,835,968 ","$12,624,471 "
26,6-Apr-01,Just Visiting,"$40,000,000 ","$4,777,007 ","$16,172,200 "
27,27-Jun-14,Snowpiercer,"$40,000,000 ","$4,563,029 ","$88,069,880 "
28,20-Jul-07,Sunshine,"$40,000,000 ","$3,688,560 ","$32,030,610 "
29,11-Mar-94,The Hudsucker Proxy,"$40,000,000 ","$2,816,518 ","$14,938,149 "
30,11-Nov-16,Billy Lynnâs Long Halftime Walk,"$40,000,000 ","$1,738,477 ","$30,230,402 "
31,1-Jul-86,Pirates,"$40,000,000 ","$1,641,825 ","$6,341,825 "
32,12-Dec-08,Delgo,"$40,000,000 ","$915,840 ","$915,840 "
33,7-Sep-07,The Hunting Party,"$40,000,000 ","$876,671 ","$7,729,552 "
34,13-Oct-06,Alex Rider: Operation Stormbreaker,"$40,000,000 ","$659,210 ","$20,722,450 "
35,20-Nov-09,Red Cliff,"$40,000,000 ","$627,047 ","$119,627,047 "
36,24-Sep-04,The Last Shot,"$40,000,000 ","$463,730 ","$463,730 "
37,16-Mar-07,Nomad,"$40,000,000 ","$79,123 ","$79,123 "
38,16-Apr-13,Un monstre Ã Paris,"$40,000,000 ",$0 ,"$27,000,381 "
39,21-Jun-19,Kursk,"$40,000,000 ",$0 ,"$4,212,799 "
40,11-Nov-16,USS Indianapolis: Men of Courage,"$40,000,000 ",$0 ,"$1,663,785 "
41,31-Dec-14,Dragon Nest Warriors' Dawn,"$40,000,000 ",$0 ,"$734,423 "
42,31-Dec-18,The Crow,"$40,000,000 ",$0 ,$0 
43,13-Sep-19,The Goldfinch,"$40,000,000 ",$0 ,$0 
44,31-Dec-19,Down Under Cover,"$40,000,000 ",$0 ,$0 
45,14-Aug-09,The Time Traveler's Wife,"$39,000,000 ","$63,414,846 ","$102,332,135 "
46,17-Jun-83,Superman III,"$39,000,000 ","$59,950,623 ","$59,950,623 "
47,2-Feb-07,Because I Said So,"$39,000,000 ","$42,674,040 ","$69,538,833 "
48,5-Oct-12,Frankenweenie,"$39,000,000 ","$35,287,788 ","$81,150,788 "
49,29-Mar-96,Sgt. Bilko,"$39,000,000 ","$30,356,589 ","$37,956,589 "
50,30-Sep-05,Serenity,"$39,000,000 ","$25,514,517 ","$40,319,440 "
51,7-Sep-07,Shoot 'Em Up,"$39,000,000 ","$12,796,824 ","$26,796,824 "
52,20-Feb-04,Against the Ropes,"$39,000,000 ","$5,881,504 ","$6,429,865 "
53,23-Aug-13,Yi dai zong shi,"$38,600,000 ","$6,594,959 ","$57,987,299 "
54,22-Jun-01,The Fast and the Furious,"$38,000,000 ","$144,512,310 ","$206,512,310 "
55,27-Sep-02,Sweet Home Alabama,"$38,000,000 ","$127,214,072 ","$182,365,114 "
56,24-Jul-09,The Ugly Truth,"$38,000,000 ","$88,915,214 ","$205,298,907 "
57,7-Aug-02,Spy Kids 2: The Island of Lost Dreams,"$38,000,000 ","$85,846,296 ","$119,721,296 "
58,18-Nov-94,Star Trek: Generations,"$38,000,000 ","$75,671,262 ","$120,000,000 "
59,2-Jun-17,Captain Underpants: The First Epic Movie,"$38,000,000 ","$73,921,000 ","$126,577,874 "
60,17-Apr-15,Paul Blart: Mall Cop 2,"$38,000,000 ","$71,091,594 ","$107,650,646 "
61,19-Dec-97,Mouse Hunt,"$38,000,000 ","$61,894,591 ","$61,894,591 "
62,23-Dec-16,Why Him?,"$38,000,000 ","$60,323,786 ","$117,425,156 "
63,22-Apr-11,Water for Elephants,"$38,000,000 ","$58,709,717 ","$116,809,717 "
64,8-Oct-10,Life as We Know It,"$38,000,000 ","$53,374,681 ","$105,887,837 "
65,29-Dec-99,The Hurricane,"$38,000,000 ","$50,699,241 ","$73,956,241 "
66,6-Sep-13,Riddick,"$38,000,000 ","$42,025,135 ","$94,763,758 "
67,23-Mar-01,Heartbreakers,"$38,000,000 ","$40,334,024 ","$57,753,825 "
68,24-May-02,Enough,"$38,000,000 ","$39,177,215 ","$50,970,660 "
69,22-Jan-16,The 5th Wave,"$38,000,000 ","$34,912,982 ","$111,336,398 "
70,6-Feb-09,Push,"$38,000,000 ","$31,811,527 ","$49,678,401 "
71,20-Sep-13,Rush,"$38,000,000 ","$26,947,624 ","$98,230,839 "
72,18-May-01,Angel Eyes,"$38,000,000 ","$24,044,532 ","$29,544,532 "
73,21-Dec-01,Joe Somebody,"$38,000,000 ","$22,770,864 ","$24,515,990 "
74,10-Mar-00,The Ninth Gate,"$38,000,000 ","$18,653,746 ","$58,394,308 "
75,20-Oct-17,Only the Brave,"$38,000,000 ","$18,340,051 ","$24,555,177 "
76,27-Sep-96,Extreme Measures,"$38,000,000 ","$17,378,193 ","$17,378,193 "
77,14-Oct-11,The Thing,"$38,000,000 ","$16,999,934 ","$27,573,078 "
78,7-Sep-01,Rock Star,"$38,000,000 ","$16,991,902 ","$19,317,765 "
79,2-Feb-96,White Squall,"$38,000,000 ","$10,229,300 ","$10,229,300 "
80,10-Oct-08,City of Ember,"$38,000,000 ","$7,873,007 ","$17,831,558 "
81,31-Oct-97,Switchback,"$38,000,000 ","$6,504,442 ","$6,504,442 "
82,21-Sep-18,The Sisters Brothers,"$38,000,000 ","$3,143,056 ","$13,143,056 "
83,30-Nov-01,Texas Rangers,"$38,000,000 ","$623,374 ","$623,374 "
84,26-Aug-08,Virgin Territory,"$38,000,000 ",$0 ,"$5,473,041 "
85,11-Jan-19,The Upside,"$37,500,000 ","$108,235,497 ","$119,024,536 "
86,18-May-12,What to Expect When You're Expecting,"$37,500,000 ","$41,152,203 ","$88,473,016 "
87,14-Sep-12,The Master,"$37,500,000 ","$16,247,159 ","$50,647,416 "
88,10-Oct-08,The Express,"$37,500,000 ","$9,793,406 ","$9,813,309 "
89,21-Nov-08,Twilight,"$37,000,000 ","$192,769,854 ","$402,280,159 "
90,7-Aug-13,We're the Millers,"$37,000,000 ","$150,394,119 ","$267,816,276 "
91,25-Nov-15,Creed,"$37,000,000 ","$109,767,581 ","$173,567,581 "
92,17-Sep-10,The Town,"$37,000,000 ","$92,186,262 ","$152,566,881 "
93,23-Sep-11,Dolphin Tale,"$37,000,000 ","$72,286,779 ","$96,068,724 "
94,23-Feb-18,Game Night,"$37,000,000 ","$69,179,066 ","$117,378,084 "
95,12-Sep-08,Burn After Reading,"$37,000,000 ","$60,355,347 ","$168,167,798 "
96,23-Apr-04,13 Going On 30,"$37,000,000 ","$57,139,723 ","$97,658,712 "
97,4-Apr-08,Nim's Island,"$37,000,000 ","$48,006,762 ","$101,857,425 "
98,12-Feb-16,How to be Single,"$37,000,000 ","$46,843,513 ","$100,003,780 "
99,26-Feb-10,Cop Out,"$37,000,000 ","$44,875,481 ","$55,909,910 "
100,28-Jan-11,The Rite,"$37,000,000 ","$33,047,633 ","$97,143,987 "
1,18-Jul-08,Space Chimps,"$37,000,000 ","$30,105,968 ","$67,029,956 "
2,17-Dec-99,Magnolia,"$37,000,000 ","$22,450,975 ","$48,446,802 "
3,29-May-15,Aloha,"$37,000,000 ","$21,052,030 ","$25,387,091 "
4,31-Dec-09,Obitaemyy ostrov,"$36,500,000 ",$0 ,"$15,000,000 "
5,5-Oct-18,A Star is Born,"$36,000,000 ","$215,288,866 ","$433,449,571 "
6,11-Feb-11,Gnomeo and Juliet,"$36,000,000 ","$99,967,670 ","$193,737,977 "
7,15-Feb-02,John Q,"$36,000,000 ","$71,026,631 ","$102,226,631 "
8,17-Sep-99,Blue Streak,"$36,000,000 ","$68,208,190 ","$117,448,157 "
9,7-Oct-83,Never Say Never Again,"$36,000,000 ","$55,500,000 ","$160,000,000 "
10,26-Mar-10,Hot Tub Time Machine,"$36,000,000 ","$50,269,859 ","$65,967,750 "
11,2-May-97,Breakdown,"$36,000,000 ","$50,159,144 ","$50,159,144 "
12,12-Sep-14,Dolphin Tale 2,"$36,000,000 ","$42,024,533 ","$57,824,533 "
13,16-Dec-16,Collateral Beauty,"$36,000,000 ","$31,016,021 ","$85,309,093 "
14,4-Apr-03,A Man Apart,"$36,000,000 ","$26,500,000 ","$43,797,731 "
15,25-Feb-00,Reindeer Games,"$36,000,000 ","$23,360,779 ","$23,360,779 "
16,24-Dec-99,Snow Falling on Cedars,"$36,000,000 ","$14,378,353 ","$14,378,353 "
17,20-Dec-96,Ghosts of Mississippi,"$36,000,000 ","$13,052,741 ","$13,052,741 "
18,24-Oct-97,Gattaca,"$36,000,000 ","$12,532,777 ","$12,532,777 "
19,28-Jan-00,Isn't She Great,"$36,000,000 ","$2,954,405 ","$2,954,405 "
20,22-Jan-16,Yip Man 3,"$36,000,000 ","$2,679,437 ","$157,300,954 "
21,6-May-11,There Be Dragons,"$36,000,000 ","$1,069,334 ","$4,020,990 "
22,14-Apr-17,Queen of the Desert,"$36,000,000 ",$0 ,"$1,578,543 "
23,28-Mar-03,Head of State,"$35,200,000 ","$37,788,228 ","$38,283,765 "
24,8-Sep-17,It,"$35,000,000 ","$327,481,748 ","$697,457,969 "
25,5-Jun-09,The Hangover,"$35,000,000 ","$277,322,503 ","$465,764,086 "
26,20-Nov-09,The Blind Side,"$35,000,000 ","$255,959,475 ","$305,705,794 "
27,23-Jun-89,Batman,"$35,000,000 ","$251,188,924 ","$411,348,924 "
28,10-Jun-99,Austin Powers: The Spy Who Shagged Me,"$35,000,000 ","$206,040,085 ","$312,383,487 "
29,22-Dec-10,True Grit,"$35,000,000 ","$171,243,005 ","$252,276,928 "
30,15-May-92,Lethal Weapon 3,"$35,000,000 ","$144,731,527 ","$319,700,000 "
31,18-Sep-98,Rush Hour,"$35,000,000 ","$141,186,864 ","$245,300,000 "
32,8-Feb-13,Identity Thief,"$35,000,000 ","$134,506,920 ","$175,361,578 "
33,30-Jun-06,The Devil Wears Prada,"$35,000,000 ","$124,740,460 ","$326,073,155 "
34,8-Jul-11,Horrible Bosses,"$35,000,000 ","$117,538,559 ","$212,417,601 "
35,30-Mar-01,Spy Kids,"$35,000,000 ","$112,692,062 ","$197,692,062 "
36,17-Jul-15,Trainwreck,"$35,000,000 ","$110,212,700 ","$141,123,897 "
37,13-Dec-13,Saving Mr. Banks,"$35,000,000 ","$83,299,761 ","$114,962,525 "
38,7-Dec-79,Star Trek: The Motion Picture,"$35,000,000 ","$82,258,456 ","$139,000,000 "
39,28-Mar-08,21,"$35,000,000 ","$81,159,365 ","$159,846,429 "
40,9-May-08,What Happens in Vegas...,"$35,000,000 ","$80,277,646 ","$218,535,708 "
41,15-Nov-91,Cape Fear,"$35,000,000 ","$79,091,969 ","$182,291,969 "
42,15-Nov-96,The English Patient,"$35,000,000 ","$78,716,374 ","$231,710,008 "
43,16-Jan-09,Hotel for Dogs,"$35,000,000 ","$73,178,547 ","$122,357,172 "
44,25-Mar-05,Guess Who,"$35,000,000 ","$68,915,888 ","$102,115,888 "
45,21-Dec-12,This is 40,"$35,000,000 ","$67,544,505 ","$90,221,182 "
46,19-Sep-97,L.A. Confidential,"$35,000,000 ","$64,604,977 ","$126,204,977 "
47,29-Jul-05,Sky High,"$35,000,000 ","$63,939,454 ","$83,109,359 "
48,19-Sep-97,In & Out,"$35,000,000 ","$63,826,569 ","$83,226,569 "
49,30-Apr-10,A Nightmare on Elm Street,"$35,000,000 ","$63,075,011 ","$117,729,621 "
50,18-Aug-00,The Cell,"$35,000,000 ","$61,280,963 ","$85,911,226 "
51,7-Jul-95,Species,"$35,000,000 ","$60,054,449 ","$113,354,449 "
52,7-Apr-06,The Benchwarmers,"$35,000,000 ","$59,843,754 ","$65,063,726 "
53,8-Oct-10,Secretariat,"$35,000,000 ","$59,699,513 ","$60,376,247 "
54,13-Mar-98,The Man in the Iron Mask,"$35,000,000 ","$56,968,169 ","$56,968,169 "
55,22-Jul-11,Friends with Benefits,"$35,000,000 ","$55,802,754 ","$146,595,891 "
56,20-May-16,Neighbors 2: Sorority Rising,"$35,000,000 ","$55,340,730 ","$108,757,621 "
57,23-Mar-07,TMNT,"$35,000,000 ","$54,149,098 ","$96,096,018 "
58,24-Oct-03,Radio,"$35,000,000 ","$52,333,738 ","$53,293,628 "
59,29-Jun-18,Sicario: Day of the Soldado,"$35,000,000 ","$50,065,850 ","$75,885,196 "
60,25-Nov-09,Old Dogs,"$35,000,000 ","$49,492,060 ","$95,104,304 "
61,18-Nov-92,Malcolm X,"$35,000,000 ","$48,169,910 ","$48,169,910 "
62,22-May-15,Poltergeist,"$35,000,000 ","$47,425,125 ","$95,713,069 "
63,12-Oct-18,Goosebumps 2: Haunted Halloween,"$35,000,000 ","$46,697,321 ","$93,291,478 "
64,19-Jan-18,12 Strong,"$35,000,000 ","$45,819,713 ","$71,118,378 "
65,23-Jan-09,Underworld 3: Rise of the Lycans,"$35,000,000 ","$45,802,315 ","$89,102,315 "
66,29-Jul-05,Must Love Dogs,"$35,000,000 ","$43,894,863 ","$58,405,313 "
67,3-Jul-07,License to Wed,"$35,000,000 ","$43,799,818 ","$70,187,088 "
68,28-Feb-97,Donnie Brasco,"$35,000,000 ","$41,954,997 ","$65,303,052 "
69,17-Oct-08,Max Payne,"$35,000,000 ","$40,689,393 ","$87,775,050 "
70,15-Mar-02,Resident Evil,"$35,000,000 ","$40,119,709 ","$103,787,401 "
71,26-Mar-04,The Ladykillers,"$35,000,000 ","$39,692,139 ","$77,392,139 "
72,6-May-11,Something Borrowed,"$35,000,000 ","$39,046,489 ","$65,084,116 "
73,1-Dec-06,The Nativity Story,"$35,000,000 ","$37,629,831 ","$46,309,644 "
74,28-Oct-11,In Time,"$35,000,000 ","$37,553,932 ","$165,103,952 "
75,23-Apr-10,The Back-up Plan,"$35,000,000 ","$37,490,007 ","$75,281,179 "
76,9-Nov-11,J. Edgar,"$35,000,000 ","$37,306,030 ","$84,606,030 "
77,17-Nov-00,Bounce,"$35,000,000 ","$36,805,288 ","$53,425,292 "
78,17-Aug-18,Mile 22,"$35,000,000 ","$36,108,758 ","$66,295,121 "
79,8-May-15,Hot Pursuit,"$35,000,000 ","$34,580,201 ","$45,671,512 "
80,25-Dec-15,Concussion,"$35,000,000 ","$34,531,832 ","$50,363,790 "
81,13-Oct-17,The Foreigner,"$35,000,000 ","$34,393,507 ","$140,783,360 "
82,3-Dec-04,Closer,"$35,000,000 ","$33,987,757 ","$116,177,695 "
83,23-Dec-94,Street Fighter,"$35,000,000 ","$33,423,000 ","$99,423,000 "
84,21-Nov-01,Black Knight,"$35,000,000 ","$33,422,806 ","$33,422,806 "
85,22-Jul-05,The Bad News Bears,"$35,000,000 ","$32,868,349 ","$33,500,620 "
86,27-Dec-02,The Pianist,"$35,000,000 ","$32,519,322 ","$111,854,182 "
87,6-May-05,House of Wax,"$35,000,000 ","$32,064,800 ","$70,064,800 "
88,19-Oct-01,From Hell,"$35,000,000 ","$31,598,308 ","$68,712,365 "
89,1-Jun-18,Adrift,"$35,000,000 ","$31,445,011 ","$57,897,191 "
90,15-Aug-08,Mirrors,"$35,000,000 ","$30,691,439 ","$77,220,596 "
91,6-Jan-17,Underworld: Blood Wars,"$35,000,000 ","$30,353,973 ","$81,209,222 "
92,22-Feb-02,Queen of the Damned,"$35,000,000 ","$30,307,804 ","$30,307,804 "
93,20-Aug-10,Nanny McPhee and the Big Bang,"$35,000,000 ","$29,197,642 ","$97,799,865 "
94,25-Jan-08,Untraceable,"$35,000,000 ","$28,687,835 ","$52,649,951 "
95,21-Nov-90,Predator 2,"$35,000,000 ","$28,317,513 ","$54,768,418 "
96,23-Sep-11,Abduction,"$35,000,000 ","$28,087,155 ","$86,648,359 "
97,5-Dec-80,Flash Gordon,"$35,000,000 ","$27,107,960 ","$27,107,960 "
98,28-Mar-08,Superhero Movie,"$35,000,000 ","$26,638,520 ","$73,026,302 "
99,12-Feb-99,Blast from the Past,"$35,000,000 ","$26,613,620 ","$26,613,620 "
100,19-Oct-12,Alex Cross,"$35,000,000 ","$25,888,412 ","$35,426,759 "
1,26-Mar-04,Jersey Girl,"$35,000,000 ","$25,266,129 ","$37,066,129 "
2,21-Nov-97,Midnight in the Garden of Good and Evil,"$35,000,000 ","$25,078,937 ","$25,078,937 "
3,16-Sep-16,Bridget Jonesâs Baby,"$35,000,000 ","$24,139,805 ","$205,822,688 "
4,9-Nov-01,Heist,"$35,000,000 ","$23,483,357 ","$28,906,817 "
5,25-Dec-92,Hoffa,"$35,000,000 ","$23,365,858 ","$28,391,473 "
6,4-Mar-16,Whiskey Tango Foxtrot,"$35,000,000 ","$23,083,334 ","$25,350,747 "
7,9-Apr-04,Ella Enchanted,"$35,000,000 ","$22,913,677 ","$22,913,677 "
8,21-Aug-15,Hitman: Agent 47,"$35,000,000 ","$22,467,450 ","$82,182,803 "
9,25-Jul-08,The X-Files: I Want to Believe,"$35,000,000 ","$20,982,478 ","$68,170,792 "
10,24-Aug-12,Premium Rush,"$35,000,000 ","$20,275,446 ","$31,393,201 "
11,18-Jan-13,Broken City,"$35,000,000 ","$19,701,164 ","$34,480,045 "
12,19-Aug-05,Valiant,"$35,000,000 ","$19,478,106 ","$64,188,387 "
13,23-Feb-00,Wonder Boys,"$35,000,000 ","$19,389,454 ","$33,422,485 "
14,25-Feb-05,Cursed,"$35,000,000 ","$19,294,901 ","$25,114,901 "
15,21-Dec-07,Walk Hard: The Dewey Cox Story,"$35,000,000 ","$18,317,151 ","$20,606,053 "
16,20-Sep-02,The Four Feathers,"$35,000,000 ","$18,306,166 ","$29,882,645 "
17,30-Apr-10,Furry Vengeance,"$35,000,000 ","$17,630,465 ","$39,340,177 "
18,25-Jan-13,Parker,"$35,000,000 ","$17,616,641 ","$48,543,388 "
19,17-Sep-04,Wimbledon,"$35,000,000 ","$16,862,585 ","$41,666,476 "
20,15-Sep-00,Bait,"$35,000,000 ","$15,325,127 ","$15,471,969 "
21,8-Dec-00,Dungeons and Dragons,"$35,000,000 ","$15,185,241 ","$33,771,965 "
22,9-Nov-07,Lions for Lambs,"$35,000,000 ","$14,998,070 ","$63,211,088 "
23,18-Jan-91,Flight of the Intruder,"$35,000,000 ","$14,471,440 ","$14,471,440 "
24,27-May-11,The Tree of Life,"$35,000,000 ","$13,305,665 ","$61,721,826 "
25,17-Aug-01,American Outlaws,"$35,000,000 ","$13,264,986 ","$13,601,109 "
26,11-Aug-06,Zoom,"$35,000,000 ","$11,989,328 ","$12,506,188 "
27,25-Dec-01,The Shipping News,"$35,000,000 ","$11,405,825 ","$24,405,825 "
28,18-Dec-09,The Young Victoria,"$35,000,000 ","$11,001,272 ","$31,878,891 "
29,28-Mar-14,Sabotage,"$35,000,000 ","$10,508,518 ","$18,376,443 "
30,4-Sep-98,Knock Off,"$35,000,000 ","$10,319,915 ","$10,319,915 "
31,11-Sep-09,Whiteout,"$35,000,000 ","$10,275,638 ","$12,254,746 "
32,6-Mar-15,Unfinished Business,"$35,000,000 ","$10,219,501 ","$13,214,051 "
33,30-Sep-15,The Walk,"$35,000,000 ","$10,161,183 ","$61,492,104 "
34,22-Nov-06,The Fountain,"$35,000,000 ","$10,144,010 ","$15,461,638 "
35,29-Nov-13,Mandela: Long Walk to Freedom,"$35,000,000 ","$8,323,085 ","$29,890,402 "
36,5-Dec-08,Punisher: War Zone,"$35,000,000 ","$8,050,977 ","$10,157,534 "
37,5-Sep-03,The Order,"$35,000,000 ","$7,659,747 ","$11,559,747 "
38,10-Nov-06,A Good Year,"$35,000,000 ","$7,459,300 ","$42,064,105 "
39,11-Mar-16,The Brothers Grimsby,"$35,000,000 ","$6,864,016 ","$28,720,470 "
40,20-Oct-17,The Snowman,"$35,000,000 ","$6,670,765 ","$43,226,146 "
41,6-Nov-02,Femme Fatale,"$35,000,000 ","$6,630,252 ","$16,830,252 "
42,2-May-97,Warriors of Virtue,"$35,000,000 ","$6,448,817 ","$6,448,817 "
43,26-Sep-03,Luther,"$35,000,000 ","$5,781,086 ","$32,717,063 "
44,28-Jan-11,Biutiful,"$35,000,000 ","$5,101,237 ","$24,687,524 "
45,21-Feb-92,Radio Flyer,"$35,000,000 ","$4,651,977 ","$4,651,977 "
46,16-Apr-93,Bound by Honor,"$35,000,000 ","$4,496,583 ","$4,496,583 "
47,22-Apr-16,A Hologram for the King,"$35,000,000 ","$4,212,494 ","$11,846,010 "
48,28-Feb-97,Smilla's Sense of Snow,"$35,000,000 ","$2,221,994 ","$2,221,994 "
49,3-Oct-86,Playing for Keeps,"$35,000,000 ","$2,000,000 ","$2,000,000 "
50,1-Jan-80,Lion of the Desert,"$35,000,000 ","$1,500,000 ","$1,500,000 "
51,19-Apr-96,Le hussard sur le toit,"$35,000,000 ","$1,320,043 ","$1,320,043 "
52,24-Nov-99,Ride With the Devil,"$35,000,000 ","$630,779 ","$630,779 "
53,14-Sep-12,Stolen,"$35,000,000 ","$289,773 ","$17,967,746 "
54,14-Oct-11,Trespass,"$35,000,000 ","$16,816 ","$786,532 "
55,22-Sep-06,Bandidas,"$35,000,000 ",$0 ,"$19,282,590 "
56,13-Mar-15,The Lovers,"$35,000,000 ",$0 ,"$53,899 "
57,31-Dec-08,Black Water Transit,"$35,000,000 ",$0 ,$0 
58,25-Dec-11,The Darkest Hour,"$34,800,000 ","$21,443,494 ","$62,831,715 "
59,28-Jun-17,Baby Driver,"$34,000,000 ","$107,825,862 ","$228,104,185 "
60,19-Sep-14,The Maze Runner,"$34,000,000 ","$102,427,862 ","$348,319,861 "
61,10-Apr-15,The Longest Ride,"$34,000,000 ","$37,446,117 ","$63,802,928 "
62,17-Sep-93,The Age of Innocence,"$34,000,000 ","$32,014,993 ","$32,014,993 "
63,14-Aug-09,Gake no ue no Ponyo,"$34,000,000 ","$15,090,399 ","$205,312,666 "
64,3-Aug-18,The Darkest Minds,"$34,000,000 ","$12,695,691 ","$38,361,428 "
65,1-Sep-99,Chill Factor,"$34,000,000 ","$11,263,966 ","$11,263,966 "
66,27-Aug-99,The Astronaut's Wife,"$34,000,000 ","$10,672,566 ","$10,672,566 "
67,5-May-00,I Dreamed of Africa,"$34,000,000 ","$6,543,194 ","$14,291,999 "
68,5-Sep-14,Thunder and the House of Magic,"$34,000,000 ","$4,091 ","$62,582,520 "
69,4-Dec-81,Reds,"$33,500,000 ","$50,000,000 ","$50,000,000 "
70,11-Dec-92,A Few Good Men,"$33,000,000 ","$141,340,178 ","$236,500,000 "
71,2-Jun-00,Big Momma's House,"$33,000,000 ","$117,559,438 ","$173,559,438 "
72,16-Mar-01,Exit Wounds,"$33,000,000 ","$51,758,599 ","$79,958,599 "
73,8-Jul-16,Mike and Dave Need Wedding Dates,"$33,000,000 ","$46,009,673 ","$75,898,100 "
74,27-Jul-12,Step Up Revolution,"$33,000,000 ","$35,074,677 ","$165,552,290 "
75,18-Aug-06,Snakes on a Plane,"$33,000,000 ","$34,020,814 ","$62,020,814 "
76,16-Apr-04,The Punisher,"$33,000,000 ","$33,664,370 ","$54,533,774 "
77,8-Sep-00,The Watcher,"$33,000,000 ","$28,946,615 ","$47,267,829 "
78,27-Apr-12,Safe,"$33,000,000 ","$17,142,080 ","$41,495,213 "
79,14-Mar-08,Doomsday,"$33,000,000 ","$11,008,770 ","$21,621,188 "
80,23-Apr-99,Pushing Tin,"$33,000,000 ","$8,408,835 ","$8,408,835 "
81,12-May-06,Goal! The Dream Begins,"$33,000,000 ","$4,283,255 ","$27,610,873 "
82,31-Jul-15,The Young and Prodigious T.S. Spivet,"$33,000,000 ","$176,847 ","$357,687 "
83,30-Oct-15,Freaks of Nature,"$33,000,000 ","$70,958 ","$70,958 "
84,25-May-83,Star Wars Ep. VI: Return of the Jedi,"$32,500,000 ","$309,205,079 ","$572,705,079 "
85,13-May-11,Bridesmaids,"$32,500,000 ","$169,211,718 ","$289,632,023 "
86,10-Dec-08,The Reader,"$32,500,000 ","$34,194,407 ","$112,964,875 "
87,26-Apr-13,The Big Wedding,"$32,500,000 ","$21,819,348 ","$48,425,971 "
88,24-Feb-12,Wanderlust,"$32,500,000 ","$17,288,155 ","$24,159,934 "
89,7-Nov-03,Elf,"$32,000,000 ","$173,840,591 ","$220,678,483 "
90,5-Jul-96,Phenomenon,"$32,000,000 ","$104,636,382 ","$152,036,382 "
91,12-Jun-13,This is the End,"$32,000,000 ","$101,470,202 ","$126,539,117 "
92,18-Jan-02,Snow Dogs,"$32,000,000 ","$81,150,692 ","$116,898,028 "
93,16-Jun-06,Nacho Libre,"$32,000,000 ","$80,197,993 ","$99,296,462 "
94,23-Nov-88,Scrooged,"$32,000,000 ","$59,450,353 ","$59,450,353 "
95,27-Aug-10,Takers,"$32,000,000 ","$57,744,720 ","$70,587,268 "
96,1-Apr-11,Source Code,"$32,000,000 ","$54,712,227 ","$140,428,499 "
97,10-Sep-99,Stigmata,"$32,000,000 ","$50,041,732 ","$89,441,732 "
98,10-Nov-00,Men of Honor,"$32,000,000 ","$48,814,909 ","$82,339,483 "
99,20-Apr-18,I Feel Pretty,"$32,000,000 ","$48,795,601 ","$91,553,797 "
100,2-Sep-05,The Transporter 2,"$32,000,000 ","$43,095,856 ","$88,978,458 "
